song_id,genre,speaker_id,dry_weight,weight0,weight1,weight2,water_loss1,water_loss2,total_water_loss
0,Hip Hop,1,1.1024,1.8595,1.8269,1.8176,0.03259999999999996,0.009299999999999864,0.041899999999999826
0,Hip Hop,2,1.4236,2.4471,2.3922,2.3757,0.05489999999999995,0.016499999999999737,0.07139999999999969
1,Hip Hop,1,1.312,2.3055,2.2672,2.2519,0.0383,0.01529999999999987,0.05359999999999987
1,Hip Hop,2,1.306,1.9372,1.9059,1.893,0.031300000000000106,0.012899999999999912,0.04420000000000002
2,Hip Hop,1,1.1825,1.8883,1.846,1.8392,0.042300000000000004,0.006800000000000139,0.049100000000000144
2,Hip Hop,2,1.3074,1.9433,1.8902,1.8825,0.053099999999999925,0.00770000000000004,0.060799999999999965
3,Pop,1,1.1203,1.7845,1.7049,1.6962,0.0795999999999999,0.008700000000000152,0.08830000000000005
3,Pop,2,1.2198,1.8754,1.8461,1.8316,0.02929999999999988,0.01450000000000018,0.04380000000000006
4,Hip Hop,1,1.6164,2.469,2.4086,2.4066,0.06040000000000001,0.0019999999999997797,0.06239999999999979
4,Hip Hop,2,1.3161,2.4165,2.351,2.3344,0.06550000000000011,0.016599999999999948,0.08210000000000006
5,Hip Hop,1,1.1604,2.1866,2.1391,2.1277,0.047499999999999876,0.011400000000000077,0.05889999999999995
5,Hip Hop,2,1.2016,2.2374,2.1944,2.1836,0.04300000000000015,0.010799999999999699,0.05379999999999985
6,Hip Hop,1,1.2999,2.439,2.3921,2.3813,0.04689999999999994,0.010800000000000143,0.057700000000000085
6,Hip Hop,2,1.299,2.4323,2.391,2.3789,0.041300000000000114,0.012100000000000222,0.053400000000000336
7,Electronic,1,1.4415,2.6473,2.593,2.5777,0.054300000000000015,0.01529999999999987,0.06959999999999988
7,Electronic,2,1.3013,2.3244,2.2885,2.274,0.03589999999999982,0.014499999999999957,0.05039999999999978
8,Hip Hop,1,1.7539,3.4676,3.3955,3.3755,0.07209999999999983,0.020000000000000018,0.09209999999999985
8,Hip Hop,2,1.7153,3.079,3.0294,3.0119,0.04960000000000031,0.01750000000000007,0.06710000000000038
9,Hip Hop,1,1.6322,3.0592,3.0096,2.9937,0.04960000000000031,0.015899999999999803,0.06550000000000011
9,Hip Hop,2,1.91,3.4238,3.3807,3.362,0.043099999999999916,0.01869999999999994,0.061799999999999855
10,Pop,1,1.0277,1.8263,1.7886,1.7784,0.03770000000000007,0.010199999999999987,0.047900000000000054
10,Pop,2,1.183,2.2124,2.1755,2.1617,0.036900000000000155,0.013799999999999812,0.05069999999999997
11,Hip Hop,1,1.457,2.2093,2.1521,2.139,0.05719999999999992,0.013100000000000112,0.07030000000000003
11,Hip Hop,2,1.2392,2.3313,2.287,2.2728,0.04430000000000023,0.014199999999999768,0.058499999999999996
12,Hip Hop,1,1.1299,2.0698,2.0141,2.0045,0.05569999999999986,0.009599999999999831,0.06529999999999969
12,Hip Hop,2,1.3962,2.5606,2.5318,2.5215,0.028799999999999937,0.010299999999999976,0.03909999999999991
13,Pop,1,1.3532,2.4251,2.378,2.3675,0.04709999999999992,0.010499999999999954,0.057599999999999874
13,Pop,2,1.0623,1.9825,1.9422,1.9347,0.0403,0.00749999999999984,0.04779999999999984
14,Hip Hop,1,1.22,1.958,1.9141,1.9036,0.04390000000000005,0.010499999999999954,0.054400000000000004
14,Hip Hop,2,1.2925,2.4529,2.4227,2.41,0.030200000000000227,0.012699999999999712,0.04289999999999994
15,Rock,1,1.1827,2.3096,2.2612,2.2513,0.0484,0.00990000000000002,0.05830000000000002
15,Rock,2,1.3007,2.4492,2.4206,2.4109,0.02859999999999996,0.009700000000000042,0.0383
16,Soul,1,1.0499,2.01,1.9785,1.9697,0.03149999999999986,0.008799999999999919,0.04029999999999978
16,Soul,2,1.1174,2.1731,2.1315,2.1211,0.04159999999999986,0.010399999999999743,0.0519999999999996
