rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,zero_crossing_rate_mean,zero_crossing_rate_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,file_name,file_path
0.15796946,0.0027364292,2683.096589949795,804710.3212175607,2924.547207511349,190290.10161635408,0.10194363904073142,0.0028220956340987914,-75.282814,4646.5063,83.32275,820.59503,10.699671,350.03976,14.4407835,216.95876,14.235466,144.81575,7.4066296,131.68387,5.2912025,110.49503,-0.38445738,98.04663,5.7129436,99.98634,3.371199,70.56401,-2.5182056,61.8896,-4.223723,65.062836,-1.8381851,59.86564,-5.9065843,55.265152,-1.281045,53.153988,-3.7727425,79.003204,-2.8536263,82.0849,-0.93529356,73.35261,-1.1213175,75.47002,-2.7166634,96.62773,pop.00027.wav,/Users/rgu/Desktop/UROPs/UROP4/genres_original/pop/pop.00027.wav
0.13994893,0.0025016032,2835.1002630922317,437850.11900691275,2731.793799003639,163989.905760231,0.13711784055727555,0.0024259274758127946,-68.97938,9202.836,73.768845,496.10013,-12.467859,524.2413,9.540959,252.33751,-0.042219322,174.1395,12.721246,233.80104,3.1691723,135.87276,-0.07756992,162.88327,2.5271416,110.33185,2.874568,57.24568,-1.672508,72.60152,-3.02125,95.8426,1.614135,44.29645,1.088553,42.930122,0.9345608,29.860119,-0.4145658,35.495983,-1.2365749,34.0367,-0.7547091,32.92942,-1.7020124,36.410572,-1.0383998,50.73879,pop.00033.wav,/Users/rgu/Desktop/UROPs/UROP4/genres_original/pop/pop.00033.wav
0.097901,0.002147046,4225.473294927373,1638338.7779221232,3404.23420824357,105285.58927224546,0.22881758840460525,0.018653158042006256,-113.15151,6196.499,41.592594,878.9122,21.5144,622.26013,11.093035,413.29324,17.441324,237.59285,0.6079788,213.47243,3.0322094,130.64546,0.08609707,150.62927,3.459342,149.38605,0.2905136,92.71273,0.6198463,84.16139,1.2607434,74.038025,2.8966556,72.82534,-0.7716394,48.540615,0.21948016,56.92967,-1.4081215,48.54846,-0.75677866,56.58962,-0.8665256,74.36432,-1.5394636,81.15397,1.0682111,79.89752,pop.00032.wav,/Users/rgu/Desktop/UROPs/UROP4/genres_original/pop/pop.00032.wav
0.19573462,0.0078451475,2525.7713905033943,1008180.3950111708,2848.550991714958,276119.31702650775,0.10357703808291409,0.003888827370734778,-73.28634,4152.5483,97.47307,804.71375,16.857292,538.1985,-0.586025,261.22668,7.177621,267.02853,4.8797293,176.36989,0.75631505,139.89165,-5.5492535,159.72362,0.9949497,116.39561,4.926656,99.15111,-5.833573,78.533485,-4.932412,86.00974,-0.03262875,71.85595,-3.0317802,74.25171,-0.14859316,87.023254,-2.3766375,87.68395,0.72672594,80.18534,0.6843078,66.9536,1.9695569,90.92932,0.7982341,79.452965,pop.00026.wav,/Users/rgu/Desktop/UROPs/UROP4/genres_original/pop/pop.00026.wav
0.2031677,0.0063406616,3070.6316890583375,609450.2382457792,2975.861715427118,125113.64401083105,0.14879955374419504,0.004601162221104506,-18.144732,3339.8196,72.30266,499.39056,-4.8684697,291.60965,-0.3649567,228.38103,1.6985861,108.972404,-0.9198878,134.31235,-1.3201126,80.77482,-0.33628935,88.76141,0.65128917,108.8139,-0.18265896,71.812775,-1.2208326,78.66503,-1.0549628,63.289505,2.5236053,40.420162,1.247953,38.18653,1.7518214,40.69114,-3.444,48.338406,0.39569402,46.50087,-0.85294455,38.440628,0.9246846,35.898533,1.6595954,42.732826,pop.00030.wav,/Users/rgu/Desktop/UROPs/UROP4/genres_original/pop/pop.00030.wav
0.20752223,0.008891153,3301.6309011651365,798204.8295510443,3175.636379492833,125856.29926071936,0.14455279181985295,0.006807725400986339,-40.815933,3885.582,61.52968,571.21796,9.870025,408.62915,10.095797,353.00168,8.45443,171.77184,5.3689194,201.16281,8.3810215,117.78969,3.5090861,114.298386,8.254065,92.68281,5.8831882,94.88904,-0.10075116,73.98844,-0.56610715,74.46827,0.5546891,54.72497,-1.9804525,66.30961,1.917242,70.18179,0.07803818,85.839226,-1.2684313,92.03592,1.2356229,94.01554,1.496332,102.67483,0.9503474,96.394585,pop.00024.wav,/Users/rgu/Desktop/UROPs/UROP4/genres_original/pop/pop.00024.wav
0.20749898,0.0037453105,3434.4184324720222,838281.2916558121,3405.885290273097,91764.19370599624,0.12776528940112228,0.005562338397418321,-48.91634,2196.0894,62.619408,458.20404,34.227634,455.49817,12.321291,276.21906,16.557446,106.2475,8.618619,154.25026,8.761581,103.84005,5.2474113,84.368805,6.790149,75.92659,9.058645,86.24045,-4.0827518,58.43869,-0.74457437,58.370743,-0.378394,42.51085,-0.47650203,68.406364,0.6497861,69.914505,1.7102871,78.64828,1.3581294,87.58271,1.9200524,116.03011,3.8486004,128.10806,1.6017662,82.26216,pop.00018.wav,/Users/rgu/Desktop/UROPs/UROP4/genres_original/pop/pop.00018.wav
0.21093382,0.005816437,3131.114642243315,1199913.0614363058,2944.717809464024,192168.14944249683,0.15610185274767802,0.011585279895981671,-25.110315,3882.4238,70.82076,826.3332,2.9193323,463.54315,7.5325303,297.81598,1.4546957,198.71277,2.8613505,249.0609,1.9148418,129.87614,-6.828311,103.84187,0.28581482,122.82094,-1.9525139,97.8877,-6.6449785,80.93664,-0.24644433,57.966064,-0.7640367,67.76538,-4.2527103,54.516895,-2.4396024,45.02383,-5.676979,34.831688,-1.5729163,48.413006,0.66786414,68.318886,1.6903739,73.92448,0.7862765,58.15903,pop.00019.wav,/Users/rgu/Desktop/UROPs/UROP4/genres_original/pop/pop.00019.wav
0.18967713,0.006511214,2928.9598309085213,1581548.2066549768,3201.3846789945633,292703.7237030136,0.10576617828463622,0.007670613009167365,-106.78887,5109.1284,81.000015,1242.2262,47.82227,548.9891,13.647065,242.0575,13.003059,125.89647,6.88405,196.20576,7.5938673,121.16191,-2.6305392,100.65093,-2.49849,147.7851,1.8686743,101.981026,-5.13599,81.20617,-2.7420828,56.080605,-3.6664963,61.935905,-7.8811774,63.189857,-4.8088307,66.34534,-6.3774505,57.898254,-7.39079,66.49901,-4.734573,81.17988,-0.1318143,122.112724,-2.325727,89.99349,pop.00025.wav,/Users/rgu/Desktop/UROPs/UROP4/genres_original/pop/pop.00025.wav
0.19840568,0.006056685,3110.950785155255,607917.6867994288,2992.1170328040666,120358.9174985308,0.1529741316756966,0.004722255777620935,-18.828693,3379.0125,71.33727,495.7939,-3.74491,283.9263,-1.3992772,247.03476,0.7103765,123.851685,-1.0496223,142.15771,-1.0515271,86.40093,-0.24425425,96.01042,0.62869954,119.61772,0.4301237,80.249725,-1.4930058,84.65536,-1.0786636,71.35326,2.42052,47.198788,1.2489449,43.45299,0.972267,49.347813,-3.5859802,54.048466,0.8922331,48.165398,-0.49775144,41.371918,0.70884395,39.179276,1.671244,48.381477,pop.00031.wav,/Users/rgu/Desktop/UROPs/UROP4/genres_original/pop/pop.00031.wav
